                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4056,                 3.7216,                 1.2628,                 0.0107,                 0.2478,                0.04367,                0.02347,                 1.1937,                  3.704,                 1.1157,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.4583,                 2.7064,                 1.2389,                 0.0494,                0.32985,                0.09516,                0.05839,                 1.2928,                 3.3395,                 1.1164,              0.0002104,              0.0002104,              0.0002104
                      3,                 1.3623,                 1.7799,                 1.1434,                0.08003,                0.32006,                0.10613,                0.07019,                 1.3456,                 3.1164,                 1.1229,             0.00031856,             0.00031856,             0.00031856
                      4,                 1.3333,                 1.7263,                 1.1943,                0.07852,                0.36048,                0.12298,                0.08115,                 1.3016,                 3.0422,                 1.0958,             0.00042451,             0.00042451,             0.00042451
                      5,                 1.3231,                 1.5356,                  1.165,                0.04668,                0.38822,                0.14087,                0.08619,                 1.2939,                 2.6127,                 1.0995,             0.00052822,             0.00052822,             0.00052822
                      6,                 1.2672,                 1.4737,                 1.1401,                0.56599,                0.09838,                 0.1861,                0.11132,                 1.2709,                 2.5873,                  1.141,             0.00062971,             0.00062971,             0.00062971
                      7,                 1.2974,                 1.4095,                 1.1561,                0.60723,                0.12487,                0.17771,                0.11779,                 1.3061,                 2.4079,                 1.1823,             0.00072896,             0.00072896,             0.00072896
                      8,                 1.2913,                 1.3938,                 1.1366,                0.59427,                0.10073,                0.19434,                0.11446,                 1.3522,                 2.4434,                 1.1933,               0.000826,               0.000826,               0.000826
                      9,                 1.2889,                 1.3254,                 1.1542,                 0.6878,                0.14866,                0.23452,                0.13002,                 1.3625,                 2.5146,                 1.2173,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.2493,                 1.2887,                 1.1493,                0.63467,                0.15736,                 0.2192,                0.11158,                 1.4071,                 2.3772,                 1.2331,              0.0010134,              0.0010134,              0.0010134
                     11,                 1.2361,                 1.3119,                 1.1642,                 0.6457,                0.22841,                 0.2079,                0.12345,                 1.3569,                 2.2452,                 1.2384,              0.0011037,              0.0011037,              0.0011037
                     12,                 1.2583,                  1.252,                 1.1475,                0.77196,                0.32897,                0.35348,                0.19544,                 1.3564,                  1.711,                 1.2058,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.2708,                 1.2201,                 1.1394,                 0.6512,                0.34334,                0.32355,                0.17781,                 1.4166,                 1.6892,                  1.277,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.2661,                 1.2357,                 1.1635,                0.61223,                 0.3453,                0.30302,                0.16898,                 1.4398,                 1.6496,                 1.3072,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.2401,                 1.1668,                 1.1167,                0.64102,                0.31695,                 0.3019,                0.16639,                 1.3732,                 1.5626,                  1.262,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.2523,                  1.206,                  1.156,                0.73222,                0.31749,                0.32011,                0.17362,                 1.3383,                 1.4705,                 1.2481,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.2256,                 1.1338,                 1.1198,                 0.6543,                0.30738,                0.29758,                0.16701,                 1.2674,                 1.3985,                 1.1901,               0.001052,               0.001052,               0.001052
